date,ticker,year,quarter,total_assets,total_liabilities,stockholders_equity,total_debt,cash_and_equivalents,current_assets,current_liabilities,accounts_receivable,inventory,ppe,revenue,net_income,gross_profit,operating_income,ebit,ebitda,cost_of_revenue,operating_expenses,rnd,sga,operating_cash_flow,free_cash_flow,capex,depreciation_amortization,shares_basic,shares_diluted,book_value_per_share,eps_basic,eps_diluted,roe,roa,debt_to_equity,current_ratio,gross_margin,profit_margin
2022-12-31,AAPL,2023,1,346747000000.0,290020000000.0,56727000000.0,111110000000.0,20535000000.0,128777000000.0,137286000000.0,54180000000.0,6820000000.0,42951000000.0,117154000000.0,29998000000.0,50332000000.0,36016000000.0,35623000000.0,38539000000.0,66822000000.0,14316000000.0,7709000000.0,6607000000.0,34005000000.0,30218000000.0,-3787000000.0,2916000000.0,15908118000.0,15955718000.0,3.56591521385496,1.89,1.88,1.63450333827097,0.274570078176784,1.95867928852222,0.938019900062643,0.429622548099083,0.429622548099083
2023-04-01,AAPL,2023,2,332160000000.0,270002000000.0,62158000000.0,109615000000.0,24687000000.0,112913000000.0,120075000000.0,35899000000.0,7482000000.0,43398000000.0,94836000000.0,24160000000.0,41976000000.0,28318000000.0,28382000000.0,31280000000.0,52860000000.0,13658000000.0,7457000000.0,6201000000.0,28560000000.0,25644000000.0,-2916000000.0,2898000000.0,15821946000.0,15847050000.0,3.92859386576089,1.53,1.52,1.65719657038443,0.275798244261026,1.76348981627465,0.94035394545076,0.442616727824877,0.442616727824877
2023-07-01,AAPL,2023,3,335038000000.0,274764000000.0,60274000000.0,109280000000.0,28408000000.0,122659000000.0,124963000000.0,39186000000.0,7351000000.0,43550000000.0,81797000000.0,19881000000.0,36413000000.0,22998000000.0,22733000000.0,25785000000.0,45384000000.0,13415000000.0,7442000000.0,5973000000.0,26380000000.0,24287000000.0,-2093000000.0,3052000000.0,15728702000.0,15775021000.0,3.83210261088296,1.27,1.26,1.64921181215763,0.277339577083486,1.81305372133922,0.981562542512584,0.445163025538834,0.445163025538834
2023-09-30,AAPL,2023,4,352583000000.0,290437000000.0,62146000000.0,111088000000.0,29965000000.0,143566000000.0,145308000000.0,60985000000.0,6331000000.0,43715000000.0,89498000000.0,22956000000.0,40427000000.0,26969000000.0,26998000000.0,29651000000.0,49071000000.0,13458000000.0,7307000000.0,6151000000.0,21598000000.0,19435000000.0,-2163000000.0,2653000000.0,15634232000.0,15672399000.0,3.97499538192858,1.47,1.46,1.60784069952964,0.283916612026976,1.78753258455894,0.988011671759297,0.451708418065208,0.451708418065208
2023-09-30,AAPL,2023,0,352583000000.0,290437000000.0,62146000000.0,111088000000.0,29965000000.0,143566000000.0,145308000000.0,60985000000.0,6331000000.0,43715000000.0,383285000000.0,96995000000.0,169148000000.0,114301000000.0,113736000000.0,125255000000.0,214137000000.0,54847000000.0,29915000000.0,24932000000.0,110543000000.0,99584000000.0,-10959000000.0,11519000000.0,15634232000.0,15812547000.0,,6.16,6.13,,,,,,
2023-12-30,AAPL,2024,1,353514000000.0,279414000000.0,74100000000.0,108040000000.0,40760000000.0,143692000000.0,133973000000.0,50102000000.0,6511000000.0,43666000000.0,119575000000.0,33916000000.0,54855000000.0,40373000000.0,40323000000.0,43171000000.0,64720000000.0,14482000000.0,7696000000.0,6786000000.0,39895000000.0,37503000000.0,-2392000000.0,2848000000.0,15552752000.0,15576641000.0,4.76443011500473,2.19,2.18,1.56044193939956,0.293929563567915,1.45802968960864,1.07254446791518,0.458749738657746,0.458749738657746
2024-03-30,AAPL,2024,2,337411000000.0,263217000000.0,74194000000.0,104590000000.0,32695000000.0,128416000000.0,123822000000.0,41150000000.0,6232000000.0,43546000000.0,90753000000.0,23636000000.0,42271000000.0,27900000000.0,28058000000.0,30894000000.0,48482000000.0,14371000000.0,7903000000.0,6468000000.0,22690000000.0,20694000000.0,-1996000000.0,2836000000.0,15441881000.0,15464709000.0,4.8047255382942,1.53,1.53,1.48332188213391,0.291289518086448,1.40968272367038,1.03710164591107,0.465780745540092,0.465780745540092
2024-06-29,AAPL,2024,3,331612000000.0,264904000000.0,66708000000.0,101304000000.0,25565000000.0,125435000000.0,131624000000.0,43172000000.0,6165000000.0,44502000000.0,85777000000.0,21448000000.0,39678000000.0,25352000000.0,25494000000.0,28344000000.0,46099000000.0,14326000000.0,8006000000.0,6320000000.0,28858000000.0,26707000000.0,-2151000000.0,2850000000.0,15334082000.0,15348175000.0,4.35030933054877,1.4,1.4,1.47150259067358,0.296573389958695,1.51861845655693,0.952979699750805,0.462571551814589,0.462571551814589
2024-09-28,AAPL,2024,4,364980000000.0,308030000000.0,56950000000.0,106629000000.0,29943000000.0,152987000000.0,176392000000.0,66243000000.0,7286000000.0,45680000000.0,94930000000.0,14736000000.0,43879000000.0,29591000000.0,29610000000.0,32521000000.0,51051000000.0,14288000000.0,7765000000.0,6523000000.0,26811000000.0,23903000000.0,-2908000000.0,2911000000.0,15204137000.0,15242855000.0,3.7456910576378,0.98,0.97,1.37871389068659,0.270226599025453,1.8723266022827,0.867312576534083,0.462224797219004,0.462224797219004
2024-09-28,AAPL,2024,0,364980000000.0,308030000000.0,56950000000.0,106629000000.0,29943000000.0,152987000000.0,176392000000.0,66243000000.0,7286000000.0,45680000000.0,391035000000.0,93736000000.0,180683000000.0,123216000000.0,123485000000.0,134930000000.0,210352000000.0,57467000000.0,31370000000.0,26097000000.0,118254000000.0,108807000000.0,-9447000000.0,11445000000.0,15204137000.0,15408095000.0,,6.11,6.08,,,,,,
