date,ticker,year,quarter,total_assets,total_liabilities,stockholders_equity,total_debt,cash_and_equivalents,current_assets,current_liabilities,accounts_receivable,inventory,ppe,revenue,net_income,gross_profit,operating_income,ebit,ebitda,cost_of_revenue,operating_expenses,rnd,sga,operating_cash_flow,free_cash_flow,capex,depreciation_amortization,shares_basic,shares_diluted,book_value_per_share,eps_basic,eps_diluted,roe,roa,debt_to_equity,current_ratio,gross_margin,profit_margin
2022-12-31,MSFT,2023,2,364552000000.0,181416000000.0,183136000000.0,60114000000.0,15646000000.0,157823000000.0,81718000000.0,35833000000.0,2980000000.0,96379000000.0,52747000000.0,16425000000.0,35259000000.0,20399000000.0,20829000000.0,24477000000.0,17488000000.0,14860000000.0,6844000000.0,8016000000.0,11173000000.0,4899000000.0,-6274000000.0,3648000000.0,7454473144.0,7473000000.0,24.5672626974857,2.2,2.2,0.393192337736531,0.188170734344039,0.328247859514241,1.93131256271568,0.668455078013915,0.668455078013915
2023-03-31,MSFT,2023,3,380088000000.0,185405000000.0,194683000000.0,60522000000.0,26562000000.0,163889000000.0,85691000000.0,37420000000.0,2877000000.0,102011000000.0,52857000000.0,18299000000.0,36729000000.0,22352000000.0,23169000000.0,26718000000.0,16128000000.0,14377000000.0,6984000000.0,7393000000.0,24441000000.0,17834000000.0,-6607000000.0,3549000000.0,7443803533.0,7464000000.0,26.1536994007066,2.46,2.45,0.384551632686889,0.187903603436823,0.310874601274893,1.91255791156598,0.694874851013111,0.694874851013111
2023-06-30,MSFT,2023,4,411976000000.0,205753000000.0,206223000000.0,59965000000.0,34704000000.0,184257000000.0,104149000000.0,48688000000.0,2500000000.0,109987000000.0,56189000000.0,20081000000.0,39394000000.0,24254000000.0,25209000000.0,29083000000.0,16795000000.0,15140000000.0,6739000000.0,8401000000.0,28770000000.0,19827000000.0,-8943000000.0,3874000000.0,7435487575.0,7466000000.0,27.7349666608783,2.7,2.69,0.382049819959663,0.190875758375099,0.290777459352255,1.76916725076573,0.701098079695314,0.701098079695314
2023-06-30,MSFT,2023,0,411976000000.0,205753000000.0,206223000000.0,59965000000.0,34704000000.0,184257000000.0,104149000000.0,48688000000.0,2500000000.0,109987000000.0,211915000000.0,72361000000.0,146052000000.0,88523000000.0,91279000000.0,105140000000.0,65863000000.0,57529000000.0,27195000000.0,30334000000.0,87582000000.0,59475000000.0,-28107000000.0,13861000000.0,7435487575.0,7472000000.0,,9.72,9.68,,,,,,
2023-09-30,MSFT,2024,1,445785000000.0,225071000000.0,220714000000.0,84989000000.0,80452000000.0,207586000000.0,124792000000.0,36953000000.0,3000000000.0,117937000000.0,56517000000.0,22291000000.0,40215000000.0,26895000000.0,27809000000.0,31730000000.0,16302000000.0,13320000000.0,6659000000.0,6661000000.0,30583000000.0,20666000000.0,-9917000000.0,3921000000.0,7429763722.0,7462000000.0,29.7067320386585,3.0,2.99,0.383201864913092,0.192451202913628,0.385063928885345,1.66345599076864,0.711555815064494,0.711555815064494
2023-12-31,MSFT,2024,2,470558000000.0,232290000000.0,238268000000.0,88374000000.0,17305000000.0,147393000000.0,121016000000.0,42831000000.0,1615000000.0,128706000000.0,62020000000.0,21870000000.0,42397000000.0,27032000000.0,27435000000.0,33394000000.0,19623000000.0,15365000000.0,7142000000.0,8223000000.0,18853000000.0,9118000000.0,-9735000000.0,5959000000.0,7432262329.0,7468000000.0,32.0586100776207,2.94,2.93,0.383961632212567,0.193258398028105,0.37090167374553,1.21796291399484,0.683602063850371,0.683602063850371
2024-03-31,MSFT,2024,3,484275000000.0,231123000000.0,253152000000.0,79911000000.0,19634000000.0,147180000000.0,118525000000.0,44029000000.0,1304000000.0,138746000000.0,61858000000.0,21939000000.0,43353000000.0,27581000000.0,27527000000.0,33554000000.0,18505000000.0,15772000000.0,7653000000.0,8119000000.0,31917000000.0,20965000000.0,-10952000000.0,6027000000.0,7430436229.0,7472000000.0,34.0696013259601,2.95,2.94,0.375370362506084,0.190182688456433,0.315664106939704,1.24176334106729,0.700847101425846,0.700847101425846
2024-06-30,MSFT,2024,4,512163000000.0,243686000000.0,268477000000.0,67127000000.0,18315000000.0,159734000000.0,125286000000.0,56924000000.0,1246000000.0,154552000000.0,64727000000.0,22036000000.0,45043000000.0,27925000000.0,27951000000.0,34331000000.0,19684000000.0,17118000000.0,8056000000.0,9062000000.0,37195000000.0,23322000000.0,-13873000000.0,6380000000.0,7432305794.0,7475000000.0,36.1229754858496,2.96,2.95,0.359514629144482,0.184309651758356,0.250028866532329,1.27495490318152,0.695891977072937,0.695891977072937
2024-06-30,MSFT,2024,0,512163000000.0,243686000000.0,268477000000.0,67127000000.0,18315000000.0,159734000000.0,125286000000.0,56924000000.0,1246000000.0,154552000000.0,245122000000.0,88136000000.0,171008000000.0,109433000000.0,110722000000.0,133009000000.0,74114000000.0,61575000000.0,29510000000.0,32065000000.0,118548000000.0,74071000000.0,-44477000000.0,22287000000.0,7432305794.0,7469000000.0,,11.86,11.8,,,,,,
2024-09-30,MSFT,2025,1,523013000000.0,235290000000.0,287723000000.0,61478000000.0,20840000000.0,149926000000.0,115200000000.0,44148000000.0,1626000000.0,173391000000.0,65585000000.0,24667000000.0,45486000000.0,30552000000.0,30851000000.0,38234000000.0,20099000000.0,14934000000.0,7544000000.0,7390000000.0,34180000000.0,19257000000.0,-14923000000.0,7383000000.0,7433038381.0,7470000000.0,38.7086659925589,3.32,3.3,0.345590958553674,0.181932845529844,0.213670787528282,1.30144097222222,0.693542730807349,0.693542730807349
2024-12-31,MSFT,2025,2,533898000000.0,231203000000.0,302695000000.0,62224000000.0,17482000000.0,147080000000.0,108882000000.0,48188000000.0,909000000.0,189718000000.0,69632000000.0,24108000000.0,47833000000.0,31653000000.0,29959000000.0,36786000000.0,21799000000.0,16180000000.0,7917000000.0,8263000000.0,22291000000.0,6487000000.0,-15804000000.0,6827000000.0,7434880776.0,7468000000.0,40.7128250095291,3.24,3.23,0.33361899272243,0.180680439613529,0.205566659508746,1.35082015392811,0.686939912683823,0.686939912683823
