date,ticker,year,quarter,total_assets,total_liabilities,stockholders_equity,total_debt,cash_and_equivalents,current_assets,current_liabilities,accounts_receivable,inventory,ppe,revenue,net_income,gross_profit,operating_income,ebit,ebitda,cost_of_revenue,operating_expenses,rnd,sga,operating_cash_flow,free_cash_flow,capex,depreciation_amortization,shares_basic,shares_diluted,book_value_per_share,eps_basic,eps_diluted,roe,roa,debt_to_equity,current_ratio,gross_margin,profit_margin
2022-12-31,PG,2023,2,117715000000.0,72990000000.0,44455000000.0,34882000000.0,6854000000.0,21866000000.0,38746000000.0,5767000000.0,7541000000.0,21167000000.0,20773000000.0,3933000000.0,9876000000.0,4785000000.0,4980000000.0,5633000000.0,10897000000.0,5091000000.0,0.0,5091000000.0,3574000000.0,2866000000.0,-708000000.0,653000000.0,2369696862.0,2481200000.0,18.8737220853863,1.63,1.59,0.3162621748977,0.121156840368078,0.784658643572152,0.564342125638776,0.475424830308574,0.475424830308574
2023-03-31,PG,2023,3,119851000000.0,74430000000.0,45140000000.0,36591000000.0,7596000000.0,22305000000.0,38030000000.0,5471000000.0,7483000000.0,21564000000.0,20068000000.0,3397000000.0,9664000000.0,4248000000.0,4483000000.0,5175000000.0,10404000000.0,5416000000.0,0.0,5416000000.0,3863000000.0,3133000000.0,-730000000.0,692000000.0,2359144096.0,2473200000.0,19.2531690103257,1.41,1.37,0.317787183996361,0.121607622023708,0.810611431103234,0.586510649487247,0.48156268686466,0.48156268686466
2023-06-30,PG,2023,4,120829000000.0,73764000000.0,46777000000.0,34607000000.0,8246000000.0,22648000000.0,35756000000.0,5471000000.0,7073000000.0,21909000000.0,20553000000.0,3384000000.0,9940000000.0,4162000000.0,4465000000.0,5171000000.0,10613000000.0,5778000000.0,0.0,5778000000.0,5341000000.0,4607000000.0,-734000000.0,706000000.0,2356969322.0,,19.9684397928706,1.4,1.37,0.324815596823444,0.123477649011854,0.739829403339248,0.633404183913189,0.48362769425388,0.48362769425388
2023-06-30,PG,2023,0,120829000000.0,73764000000.0,46777000000.0,34607000000.0,8246000000.0,22648000000.0,35756000000.0,5471000000.0,7073000000.0,21909000000.0,82006000000.0,14653000000.0,39246000000.0,18134000000.0,19024000000.0,21738000000.0,42760000000.0,21112000000.0,0.0,21112000000.0,16848000000.0,13786000000.0,-3062000000.0,2714000000.0,2356969322.0,,,6.07,5.9,,,,,,
2023-09-30,PG,2024,1,122531000000.0,74517000000.0,47693000000.0,35880000000.0,9733000000.0,24940000000.0,37158000000.0,6215000000.0,7117000000.0,21636000000.0,21871000000.0,4521000000.0,11370000000.0,5766000000.0,5992000000.0,6694000000.0,10501000000.0,5604000000.0,0.0,5604000000.0,4904000000.0,3979000000.0,-925000000.0,702000000.0,2357306187.0,,20.3681644178368,1.89,1.83,0.331078695026214,0.126713881137639,0.752311659992032,0.671187900317563,0.519866489872434,0.519866489872434
2023-12-31,PG,2024,2,120709000000.0,71880000000.0,48535000000.0,33712000000.0,7890000000.0,23111000000.0,35950000000.0,6334000000.0,7151000000.0,22132000000.0,21441000000.0,3468000000.0,11297000000.0,4434000000.0,4719000000.0,5440000000.0,10144000000.0,6863000000.0,0.0,5522000000.0,5100000000.0,4283000000.0,-817000000.0,721000000.0,2356886211.0,,20.7175890681979,1.44,1.4,0.31401312817242,0.122086295255414,0.694591531884207,0.642865090403338,0.526887738445035,0.526887738445035
2024-03-31,PG,2024,3,119598000000.0,69264000000.0,50058000000.0,31982000000.0,6828000000.0,22458000000.0,32340000000.0,6124000000.0,7077000000.0,22027000000.0,20195000000.0,3754000000.0,10340000000.0,4460000000.0,4799000000.0,5511000000.0,9855000000.0,5880000000.0,0.0,5880000000.0,4088000000.0,3291000000.0,-797000000.0,712000000.0,2353021054.0,,21.3912238118036,1.56,1.52,0.313410648337589,0.125102601583321,0.638898877302329,0.69443413729128,0.512007922753157,0.512007922753157
2024-06-30,PG,2024,4,122370000000.0,71811000000.0,50287000000.0,32460000000.0,9482000000.0,24709000000.0,33627000000.0,6118000000.0,7016000000.0,22152000000.0,20532000000.0,3137000000.0,10184000000.0,3885000000.0,4083000000.0,4844000000.0,10348000000.0,6299000000.0,0.0,6299000000.0,5754000000.0,4971000000.0,-783000000.0,761000000.0,2360135282.0,,21.4220771095612,1.29,1.27,0.302788277128599,0.122669040906168,0.645494859506433,0.734796443334225,0.49600623417105,0.49600623417105
2024-06-30,PG,2024,0,122370000000.0,71811000000.0,50287000000.0,32460000000.0,9482000000.0,24709000000.0,33627000000.0,6118000000.0,7016000000.0,22152000000.0,84039000000.0,14879000000.0,43191000000.0,18545000000.0,19591000000.0,22487000000.0,40848000000.0,24646000000.0,0.0,23305000000.0,19846000000.0,16524000000.0,-3322000000.0,2896000000.0,2360135282.0,,,6.18,6.02,,,,,,
2024-09-30,PG,2025,1,126482000000.0,74341000000.0,51841000000.0,36153000000.0,12156000000.0,27449000000.0,36420000000.0,6314000000.0,7287000000.0,22506000000.0,21737000000.0,3959000000.0,11316000000.0,5797000000.0,5349000000.0,6077000000.0,10421000000.0,5519000000.0,0.0,5519000000.0,4302000000.0,3309000000.0,-993000000.0,728000000.0,2354050987.0,,22.1494777674499,1.65,1.61,0.285331380373753,0.117082584599282,0.697382380741112,0.753679297089511,0.520587017527718,0.520587017527718
