date,ticker,year,quarter,total_assets,total_liabilities,stockholders_equity,total_debt,cash_and_equivalents,current_assets,current_liabilities,accounts_receivable,inventory,ppe,revenue,net_income,gross_profit,operating_income,ebit,ebitda,cost_of_revenue,operating_expenses,rnd,sga,operating_cash_flow,free_cash_flow,capex,depreciation_amortization,shares_basic,shares_diluted,book_value_per_share,eps_basic,eps_diluted,roe,roa,debt_to_equity,current_ratio,gross_margin,profit_margin
2022-10-31,WMT,2022,3,247656000000.0,167533000000.0,72253000000.0,65380000000.0,11587000000.0,87680000000.0,101408000000.0,8218000000.0,64706000000.0,115544000000.0,152813000000.0,-1798000000.0,37200000000.0,2695000000.0,-878000000.0,1877000000.0,115613000000.0,34505000000.0,0.0,34505000000.0,6458000000.0,1943000000.0,-4515000000.0,2755000000.0,8142713811.0,8133000000.0,9.8398398690817,-0.22,-0.22,0.115714050669256,0.0363825585252222,0.90487592210704,0.864626065004733,0.243434786307448,0.243434786307448
2023-01-31,WMT,2022,4,243197000000.0,159443000000.0,76693000000.0,58923000000.0,8625000000.0,75655000000.0,92198000000.0,7933000000.0,56576000000.0,119234000000.0,164048000000.0,6275000000.0,38625000000.0,5561000000.0,9978000000.0,12789000000.0,125423000000.0,33064000000.0,0.0,33064000000.0,13143000000.0,8391000000.0,-4752000000.0,2811000000.0,8090400162.0,8121000000.0,10.352269148983,0.77,0.76,0.153982551720274,0.04747031581172,0.768296976255982,0.820570945139808,0.235449380669072,0.235449380669072
2023-01-31,WMT,2022,0,243197000000.0,159443000000.0,76693000000.0,58923000000.0,8625000000.0,75655000000.0,92198000000.0,7933000000.0,56576000000.0,119234000000.0,611289000000.0,11680000000.0,147568000000.0,20428000000.0,19532000000.0,30477000000.0,463721000000.0,127140000000.0,0.0,127140000000.0,28841000000.0,12154000000.0,-16687000000.0,10945000000.0,8090400162.0,8202000000.0,,1.43,1.42,,,,,,
2023-04-30,WMT,2023,1,245053000000.0,165822000000.0,72405000000.0,63867000000.0,10575000000.0,78511000000.0,95505000000.0,7647000000.0,56932000000.0,121138000000.0,152301000000.0,1673000000.0,37017000000.0,6240000000.0,3129000000.0,5974000000.0,115284000000.0,30777000000.0,0.0,30777000000.0,4633000000.0,251000000.0,-4382000000.0,2845000000.0,8086967799.0,8112000000.0,9.79736805800035,0.21,0.21,0.151197644854811,0.0459727089171553,0.882079966853118,0.822061672163761,0.24305158863041,0.24305158863041
2023-07-31,WMT,2023,2,255121000000.0,169794000000.0,79556000000.0,64801000000.0,13888000000.0,82032000000.0,99220000000.0,7891000000.0,56722000000.0,123995000000.0,161632000000.0,7891000000.0,39782000000.0,7316000000.0,11207000000.0,14112000000.0,121850000000.0,32466000000.0,0.0,32466000000.0,13568000000.0,8867000000.0,-4701000000.0,2905000000.0,8078505336.0,8108000000.0,10.5622261112783,0.98,0.97,0.186649031095986,0.0566725225447944,0.814533159032631,0.826768796613586,0.246127004553554,0.246127004553554
2023-10-31,WMT,2023,3,259174000000.0,173591000000.0,79456000000.0,69739000000.0,12154000000.0,88391000000.0,104230000000.0,8625000000.0,63951000000.0,126824000000.0,160804000000.0,453000000.0,39621000000.0,6202000000.0,1407000000.0,4393000000.0,121183000000.0,33419000000.0,0.0,33419000000.0,813000000.0,-4615000000.0,-5428000000.0,2986000000.0,8074691550.0,8110000000.0,10.598918790898,0.06,0.06,0.21150887669988,0.065002568463261,0.877705900120822,0.848037992900317,0.246393124549141,0.246393124549141
2024-01-31,WMT,2023,4,252399000000.0,162050000000.0,83861000000.0,61321000000.0,9867000000.0,76877000000.0,92415000000.0,8796000000.0,54892000000.0,130338000000.0,173388000000.0,5494000000.0,41563000000.0,7254000000.0,8029000000.0,11146000000.0,131825000000.0,34309000000.0,0.0,34309000000.0,16712000000.0,10867000000.0,-5845000000.0,3117000000.0,8076701109.0,8102000000.0,11.1863740877229,0.68,0.67,0.196791403142623,0.0613236313030827,0.731221902910769,0.831867121138343,0.239710937319768,0.239710937319768
2024-01-31,WMT,2023,0,252399000000.0,162050000000.0,83861000000.0,61321000000.0,9867000000.0,76877000000.0,92415000000.0,8796000000.0,54892000000.0,130338000000.0,648125000000.0,15511000000.0,157983000000.0,27012000000.0,23772000000.0,35625000000.0,490142000000.0,130971000000.0,0.0,130971000000.0,35726000000.0,15370000000.0,-20356000000.0,11853000000.0,8076701109.0,8108000000.0,,1.92,1.91,,,,,,
2024-04-30,WMT,2024,1,254054000000.0,165981000000.0,81293000000.0,64463000000.0,9405000000.0,77152000000.0,96100000000.0,9075000000.0,55382000000.0,131345000000.0,161508000000.0,5104000000.0,40077000000.0,6841000000.0,7546000000.0,10674000000.0,121431000000.0,33236000000.0,0.0,33236000000.0,4249000000.0,-355000000.0,-4604000000.0,3128000000.0,8058048674.0,8084000000.0,10.9298173246552,0.63,0.63,0.233732100220258,0.0742279191338117,0.792971104523145,0.802830385015609,0.248142506872725,0.248142506872725
2024-07-31,WMT,2024,2,254440000000.0,163875000000.0,84423000000.0,61305000000.0,8811000000.0,76510000000.0,95260000000.0,8650000000.0,55611000000.0,133738000000.0,169335000000.0,4501000000.0,42525000000.0,7940000000.0,6682000000.0,9893000000.0,126810000000.0,34585000000.0,0.0,34585000000.0,12108000000.0,6497000000.0,-5611000000.0,3211000000.0,8043543330.0,8081000000.0,11.2593413480126,0.56,0.56,0.189063103093003,0.0609842294672801,0.726164670765076,0.803170270837707,0.251129418017539,0.251129418017539
